Book Name,Author,Rating,Customers_Rated,Price
One Indian Girl,Chetan Bhagat,3.8 out of 5 stars,"7,134",0
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"1,086",0
The Immortals of Meluha (Shiva Trilogy),Amish,4.6 out of 5 stars,"4,551",0
1984,George Orwell,4.5 out of 5 stars,"10,958",0
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,656,0
The Theory of Everything,Stephen Hawking,4.6 out of 5 stars,"2,007",0
Ram - Scion of Ikshvaku (Ram Chandra),Amish Tripathi,4.2 out of 5 stars,"5,779",0
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"1,827",0
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.4 out of 5 stars,"8,615",0
The Great Gatsby,F. Scott Fitzgerald,4.3 out of 5 stars,"1,474",0
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"14,004",0
Grandma's Bag of Stories,Sudha Murty,4.5 out of 5 stars,"1,373",0
Sita: Warrior of Mithila (Ram Chandra Series - Book 2),Amish Tripathi,4.4 out of 5 stars,"3,129",0
Harry Potter and the Philosopher's Stone,J.K. Rowling,4.7 out of 5 stars,"8,028",0
Wren & Martin High School English Grammar and Composition Book (Regular Edition),Rao N,4.4 out of 5 stars,"1,613",0
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"7,145",0
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"1,219",0
25 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2019),Disha Experts,4.3 out of 5 stars,"1,121",0
The 7 Habits of Highly Effective People,R. Stephen Covey,4.3 out of 5 stars,"8,297",0
Concept of Physics Part-1 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"2,337",0
The Secret,Rhonda Byrne,4.5 out of 5 stars,"11,282",0
A Brief History of Modern India by Spectrum (Old Edition),Spectrum Books Pvt. Ltd.,4.4 out of 5 stars,"1,513",0
History of Modern India,Bipan Chandra,4.2 out of 5 stars,"1,821",0
Rich Dad Poor Dad - 20th Anniversary Edition,Robert T. Kiyosaki,4.6 out of 5 stars,"2,287",0
The Rudest Book Ever,Shwetabh Gangwar,4.6 out of 5 stars,"1,193",0
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.5 out of 5 stars,"1,289",0
Concept of Physics Part-2 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"1,812",0
"Dear Stranger, I Know How You Feel",Ashish Bagrecha,4.6 out of 5 stars,"1,133",0
How to Prepare for Quantitative Aptitude for the CAT,Arun Sharma,4.4 out of 5 stars,848,0
Peppa Pig: Little Library (3 to 6 years),Peppa Pig,4.2 out of 5 stars,"4,176",0
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,975,0
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5 out of 5 stars,"2,888",0
The Prophet,Kahlil Gibran,4.4 out of 5 stars,"1,186",0
Wuthering Heights,Emily Brontë,4.3 out of 5 stars,"3,631",0
101 Panchatantra Stories,Dreamland Publications,4.3 out of 5 stars,819,0
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"5,742",0
Bhagavad Gita: Yatharoop (Hindi),A.C. Bhaktivendanta Swami Prabhupada,4.8 out of 5 stars,"2,535",0
"Don't Lose Your Mind, Lose Your Weight",Rujuta Diwekar,4.4 out of 5 stars,"1,879",0
A Brief History of Modern India (2019-2020 Edition) by  Spectrum Books,Spectrum Books Pvt.Ltd.,4.5 out of 5 stars,"1,049",0
1001 Activities Book,Dreamland Publications,4.4 out of 5 stars,931,0
The Secret Of The Nagas (Shiva Trilogy-2),Amish Tripathi,4.7 out of 5 stars,"2,910",0
India's Struggle for Independence: 1857-1947,Bipan Chandra,4.4 out of 5 stars,"1,575",0
You are the Best Wife: A True Love Story,Ajay K Pandey,4.6 out of 5 stars,"4,247",0
505 Activities for Kids,Dreamland Publications,4.4 out of 5 stars,790,0
To Kill A Mockingbird: 50th Anniversary Edition,Harper Lee,4.4 out of 5 stars,"15,871",0
The Diary of a Young Girl,Anne Frank,4.5 out of 5 stars,"4,408",0
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,4.3 out of 5 stars,"1,012",0
"Zero to One: Notes on Start Ups, or How to Build the Future",Peter Thiel,4.3 out of 5 stars,"4,484",0
Fast Track Objective Arithmetic,Rajesh Verma,4.3 out of 5 stars,"1,485",0
Environment By Shankar (7th) Revised Edition (2019-2020 Session),Shankar,4.3 out of 5 stars,"1,816",0
Pride & Prejudice,Jane Austen,4.4 out of 5 stars,"6,448",0
The Fault in our Stars,John Green,4.5 out of 5 stars,"41,955",0
Becoming,Michelle Obama,4.6 out of 5 stars,"10,549",0
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,4.4 out of 5 stars,"5,636",0
How to Develop Self-Confidence & Influence People By Public Speaking,Dale Carnegie,4.3 out of 5 stars,873,0
The Magic of the Lost Temple,Sudha Murty,4.6 out of 5 stars,935,0
World Map,Dreamland Publications,4.5 out of 5 stars,"2,249",0
Everyone Has A Story,Savi Sharma,4.1 out of 5 stars,"4,457",0
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.5 out of 5 stars,"3,544",0
Indian Art and Culture,Nitin Singhania,4.5 out of 5 stars,"1,177",0
The Oath of the Vayuputras (Shiva Trilogy),Amish Tripathi,4.5 out of 5 stars,"2,732",0
General Knowledge 2020 (Old Edition),Arihant Experts,4.2 out of 5 stars,"1,247",0
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.2 out of 5 stars,"1,492",0
The 12-Week Fitness Project,Rujuta Diwekar,4.5 out of 5 stars,401,0
Harry Potter and the Chamber of Secrets (Harry Potter 2),J.K. Rowling,4.7 out of 5 stars,"5,305",0
Believe in Yourself,Dr. Joseph Murphy,4.2 out of 5 stars,"1,423",0
This Is Not Your Story,Savi Sharma,4.4 out of 5 stars,"2,726",0
Rahasya,Rhonda Byrne,4.6 out of 5 stars,"1,699",0
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,973,0
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"1,196",0
Diary of a Wimpy Kid: Wrecking Ball (Book 14) (Diary of a Wimpy Kid 14),Jeff Kinney,4.7 out of 5 stars,"7,026",0
Think & Grow Rich,Napoleon Hill,4.5 out of 5 stars,"16,756",0
A Brief History Of Time: From Big Bang To Black Holes,Stephen Hawking,4.5 out of 5 stars,"3,977",0
24 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2018),Disha Experts,4.3 out of 5 stars,984,0
